"PK_PRODUNITID"|"FK_SUPPLIERID"|"FK_PRODUCTID"|"UPC_CODE"|"INVENTORY_CODE"|"PRICE"|"VOLUME"|"SHIPWEIGHT"|"SHIPHEIGHT"|"SHIPWIDTH"|"SHIPLENGTH"|"VOLUMESALE"|"VOLUMEUNIT"|"DATEMODIFIED"|"DATECREATED"|"STATUS"
"149"|"0"|"34"||"#1023A"|"29"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 20:02:39"|"2008-08-18 18:02:39"|"active"
"150"|"0"|"35"||"#1066"|"14"|"4"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:02:56"|"2008-08-18 18:02:56"|"active"
"151"|"0"|"36"||"#1008C"|"3.75"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:03:36"|"2008-08-18 18:03:36"|"active"
"152"|"0"|"36"||"#1008C"|"3.5"|"8"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 20:03:51"|"2008-08-18 18:03:51"|"active"
"153"|"0"|"36"||"#1008"|"22"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 20:04:15"|"2008-08-18 18:04:15"|"active"
"154"|"0"|"36"||"#1008A"|"20"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 20:04:30"|"2008-08-18 18:04:30"|"active"
"155"|"0"|"36"||"#1008B"|"98.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 20:04:44"|"2008-08-18 18:04:44"|"active"
"156"|"0"|"37"||"#1039"|"34"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 20:11:41"|"2008-08-18 18:11:41"|"active"
"157"|"0"|"37"||"#1039A"|"32"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 20:12:12"|"2008-08-18 18:12:12"|"active"
"158"|"0"|"37"||"#1039B"|"158.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 20:12:29"|"2008-08-18 18:12:29"|"active"
"159"|"0"|"38"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:13:00"|"2008-08-18 18:13:00"|"active"
"160"|"0"|"38"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:13:16"|"2008-08-18 18:13:16"|"active"
"161"|"0"|"38"||"#1018C"|"40"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 20:13:34"|"2008-08-18 18:13:34"|"active"
"162"|"0"|"39"||"#1024A"|"3.5"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:14:01"|"2008-08-18 18:14:01"|"active"
"163"|"0"|"39"||"#1024B"|"6.5"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:14:22"|"2008-08-18 18:14:22"|"active"
"164"|"0"|"39"||"#1024C"|"45"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 20:14:36"|"2008-08-18 18:14:36"|"active"
"165"|"0"|"40"||"#2005D"|"18"|"64"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-09 19:00:38"|"2008-08-18 18:15:02"|"deleted"
"166"|"0"|"40"||"2005E"|"5"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-09 19:00:55"|"2008-08-18 18:17:31"|"active"
"167"|"0"|"41"||"#1043"|"7"|"2.5"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:20:45"|"2008-08-18 18:20:45"|"active"
"168"|"0"|"41"||"#1043"|"6.75"|"2.5"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 20:21:03"|"2008-08-18 18:21:03"|"active"
"169"|"0"|"41"||"1043A"|"12"|"32"|"0"|"0"|"3.25"|"3.25"|"1"|"o.z."|"2008-08-18 20:21:20"|"2008-08-18 18:21:20"|"active"
"170"|"0"|"42"||"#1058"|"10"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:29:00"|"2008-08-18 18:29:00"|"active"
"171"|"0"|"42"||"#1058"|"9.75"|"8"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 20:29:25"|"2008-08-18 18:29:25"|"active"
"172"|"0"|"43"||"#1055C"|"12"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 20:29:54"|"2008-08-18 18:29:54"|"active"
"173"|"0"|"43"||"#1055C"|"11.75"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 20:30:22"|"2008-08-18 18:30:22"|"active"
"174"|"0"|"43"||"#1055"|"27"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 20:30:40"|"2008-08-18 18:30:40"|"active"
"175"|"0"|"43"||"#1055A"|"25"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 20:30:57"|"2008-08-18 18:30:57"|"active"
"176"|"0"|"44"||"#1064-0501"|"11"|"1.7"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:31:59"|"2008-08-18 18:31:59"|"active"
"177"|"0"|"45"||"#1064-0502"|"11"|"1.7"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:33:39"|"2008-08-18 18:33:39"|"active"
"178"|"0"|"45"||"#1064-DG10-60"|"2.5"|"0"|"0"|"0"|"0"|"0"|"1"||"2008-08-18 20:34:26"|"2008-08-18 18:34:26"|"active"
"179"|"0"|"46"||"#1065"|"20"|"0"|"0"|"0"|"0"|"0"|"1"||"2008-08-18 20:34:46"|"2008-08-18 18:34:46"|"active"
"180"|"0"|"47"||"#1010C"|"6.25"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 20:35:22"|"2008-08-18 18:35:22"|"active"
"181"|"0"|"47"||"#1010C"|"6"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 20:35:36"|"2008-08-18 18:35:36"|"active"
"182"|"0"|"47"||"#1010"|"27"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 20:35:47"|"2008-08-18 18:35:47"|"active"
"183"|"0"|"47"||"#1010A"|"25"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 20:36:00"|"2008-08-18 18:36:00"|"active"
"184"|"0"|"47"||"#1010B"|"123.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 20:36:17"|"2008-08-18 18:36:17"|"active"
"185"|"0"|"48"||"#1037C"|"6.25"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 20:36:36"|"2008-08-18 18:36:36"|"active"
"186"|"0"|"48"||"#1037C"|"6"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 20:36:56"|"2008-08-18 18:36:56"|"active"
"187"|"0"|"48"||"#1037"|"26"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 20:37:10"|"2008-08-18 18:37:10"|"active"
"188"|"0"|"48"||"#1037A"|"24"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 20:37:30"|"2008-08-18 18:37:30"|"active"
"189"|"0"|"48"||"#1037B"|"118.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 20:37:57"|"2008-08-18 18:37:57"|"active"
"190"|"0"|"49"||"#1009C"|"5.5"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 20:43:44"|"2008-08-18 18:43:44"|"active"
"191"|"0"|"49"||"#1009C"|"5.25"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 20:43:57"|"2008-08-18 18:43:57"|"active"
"192"|"0"|"49"||"#1009"|"21"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 20:44:11"|"2008-08-18 18:44:11"|"active"
"193"|"0"|"49"||"#1009A"|"19"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 20:44:28"|"2008-08-18 18:44:28"|"active"
"194"|"0"|"49"||"#1009B"|"93.75"|"5"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-08-18 20:44:49"|"2008-08-18 18:44:49"|"active"
"195"|"0"|"50"||"#1062"|"16"|"32"|"0"|"0"|"3.25"|"3.25"|"1"|"o.z."|"2008-08-18 20:45:09"|"2008-08-18 18:45:09"|"active"
"196"|"0"|"51"||"#1015C"|"7"|"16"|"0"|"0"|"2.25"|"2.25"|"1"|"o.z."|"2008-08-18 20:45:47"|"2008-08-18 18:45:47"|"active"
"197"|"0"|"51"||"#1015C"|"6.75"|"16"|"0"|"0"|"0"|"0"|"12"|"o.z."|"2008-08-18 20:46:24"|"2008-08-18 18:46:24"|"active"
"198"|"0"|"51"||"#1015"|"22"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 20:46:43"|"2008-08-18 18:46:43"|"active"
"199"|"0"|"51"||"#1015A"|"20"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 20:46:58"|"2008-08-18 18:46:58"|"active"
"200"|"0"|"52"||"#1041C"|"11"|"32"|"0"|"0"|"3.25"|"3.25"|"1"|"o.z."|"2008-08-18 20:47:43"|"2008-08-18 18:47:43"|"active"
"201"|"0"|"52"||"#1041C"|"10.75"|"32"|"0"|"0"|"0"|"0"|"6"|"o.z."|"2008-08-18 20:48:04"|"2008-08-18 18:48:04"|"active"
"202"|"0"|"52"||"#1041"|"26"|"1"|"9"|"12"|"5.5"|"5.5"|"1"|"Gals."|"2008-08-18 20:48:17"|"2008-08-18 18:48:17"|"active"
"203"|"0"|"52"||"#1041A"|"24"|"1"|"36"|"12"|"11"|"11"|"4"|"Gals."|"2008-08-18 20:48:31"|"2008-08-18 18:48:31"|"active"
"204"|"0"|"62"||"#1038B"|"14"|"12"|"0"|"0"|"0"|"0"|"12"||"2008-08-18 20:53:20"|"2008-08-18 18:53:20"|"active"
"205"|"0"|"63"||"#1038A"|"14"|"0"|"0"|"0"|"0"|"0"|"12"||"2008-08-18 20:53:38"|"2008-08-18 18:53:38"|"active"
"206"|"0"|"73"|||"16"|"8.5"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 20:59:55"|"2008-08-18 18:59:55"|"active"
"207"|"0"|"73"|||"6.5"|"2.5"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 21:00:11"|"2008-08-18 19:00:11"|"active"
"208"|"0"|"74"|||"8"|"10"|"0.88"|"1"|"2.5"|"2.5"|"1"|"ml"|"2008-08-18 21:02:30"|"2008-08-18 19:02:30"|"active"
"209"|"0"|"74"|||"19"|"30"|"0.17"|"3.5"|"1.25"|"1.25"|"1"|"ml"|"2008-08-18 21:02:43"|"2008-08-18 19:02:43"|"active"
"210"|"0"|"64"|||"6"|"4"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 21:03:18"|"2008-08-18 19:03:18"|"active"
"211"|"0"|"65"||"#1034"|"5"|"0"|"0"|"0"|"0"|"0"|"1"||"2008-08-18 21:03:36"|"2008-08-18 19:03:36"|"active"
"212"|"0"|"66"||"#1034C"|"12"|"0"|"0"|"0"|"0"|"0"|"1"||"2008-08-18 21:03:55"|"2008-08-18 19:03:55"|"active"
"213"|"0"|"67"||"#2013"|"2.5"|"0"|"0"|"0"|"0"|"0"|"1"||"2008-08-18 21:04:15"|"2008-08-18 19:04:15"|"active"
"214"|"0"|"68"||"#2012"|"1.5"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 21:04:33"|"2008-08-18 19:04:33"|"active"
"215"|"0"|"68"||"#2012"|"1"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-08-18 21:04:43"|"2008-08-18 19:04:43"|"active"
"216"|"0"|"69"||"#1032"|"7.5"|"0"|"0"|"0"|"0"|"0"|"1"||"2008-08-18 21:05:06"|"2008-08-18 19:05:06"|"active"
"217"|"0"|"70"||"#1033"|"6.5"|"0"|"0"|"0"|"0"|"0"|"1"||"2008-08-18 21:05:21"|"2008-08-18 19:05:21"|"active"
"218"|"0"|"62"|||"0"|"0"|"0"|"0"|"0"|"0"|"0"||"2008-09-28 17:12:20"|"2008-09-28 15:10:35"|"deleted"
"219"|"0"|"75"||"#1018A"|"2"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-09 19:12:02"|"2008-10-05 14:13:07"|"active"
"220"|"0"|"75"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:17:39"|"2008-10-05 14:17:39"|"active"
"221"|"0"|"75"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:18:00"|"2008-10-05 14:18:00"|"active"
"222"|"0"|"76"||"#1018A2"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-07 01:46:17"|"2008-10-05 14:18:29"|"active"
"223"|"0"|"76"||"#1018B2"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-07 01:47:11"|"2008-10-05 14:18:54"|"active"
"224"|"0"|"76"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:21:32"|"2008-10-05 14:21:32"|"active"
"225"|"0"|"77"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:22:24"|"2008-10-05 14:22:24"|"active"
"226"|"0"|"77"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:22:40"|"2008-10-05 14:22:40"|"active"
"227"|"0"|"77"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:23:01"|"2008-10-05 14:23:01"|"active"
"228"|"0"|"78"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:23:24"|"2008-10-05 14:23:24"|"active"
"229"|"0"|"78"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:23:42"|"2008-10-05 14:23:42"|"active"
"230"|"0"|"78"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:23:59"|"2008-10-05 14:23:59"|"active"
"231"|"0"|"79"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:24:44"|"2008-10-05 14:24:44"|"active"
"232"|"0"|"79"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:25:04"|"2008-10-05 14:25:04"|"active"
"233"|"0"|"79"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:25:24"|"2008-10-05 14:25:24"|"active"
"234"|"0"|"80"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:25:43"|"2008-10-05 14:25:43"|"active"
"235"|"0"|"80"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:26:00"|"2008-10-05 14:26:00"|"active"
"236"|"0"|"80"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:26:19"|"2008-10-05 14:26:19"|"active"
"237"|"0"|"81"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:26:47"|"2008-10-05 14:26:47"|"active"
"238"|"0"|"81"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:28:20"|"2008-10-05 14:28:20"|"active"
"239"|"0"|"81"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:29:01"|"2008-10-05 14:29:01"|"active"
"240"|"0"|"82"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:29:19"|"2008-10-05 14:29:19"|"active"
"241"|"0"|"82"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:30:03"|"2008-10-05 14:30:03"|"active"
"242"|"0"|"82"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:30:28"|"2008-10-05 14:30:28"|"active"
"243"|"0"|"83"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:35:13"|"2008-10-05 14:35:13"|"active"
"244"|"0"|"83"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:35:39"|"2008-10-05 14:35:39"|"active"
"245"|"0"|"83"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:35:54"|"2008-10-05 14:35:54"|"active"
"246"|"0"|"84"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:36:11"|"2008-10-05 14:36:11"|"active"
"247"|"0"|"84"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:36:27"|"2008-10-05 14:36:27"|"active"
"248"|"0"|"84"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:36:43"|"2008-10-05 14:36:43"|"active"
"249"|"0"|"85"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:37:05"|"2008-10-05 14:37:05"|"active"
"250"|"0"|"85"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:37:24"|"2008-10-05 14:37:24"|"active"
"251"|"0"|"85"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:37:37"|"2008-10-05 14:37:37"|"active"
"252"|"0"|"86"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:38:01"|"2008-10-05 14:38:01"|"active"
"253"|"0"|"86"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:38:26"|"2008-10-05 14:38:26"|"active"
"254"|"0"|"86"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:38:50"|"2008-10-05 14:38:50"|"active"
"255"|"0"|"87"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:39:36"|"2008-10-05 14:39:36"|"active"
"256"|"0"|"87"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:39:55"|"2008-10-05 14:39:55"|"active"
"257"|"0"|"87"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:40:14"|"2008-10-05 14:40:14"|"active"
"258"|"0"|"88"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:40:35"|"2008-10-05 14:40:35"|"active"
"259"|"0"|"88"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:40:51"|"2008-10-05 14:40:51"|"active"
"260"|"0"|"88"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:41:05"|"2008-10-05 14:41:05"|"active"
"261"|"0"|"89"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:41:22"|"2008-10-05 14:41:22"|"active"
"262"|"0"|"89"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:41:39"|"2008-10-05 14:41:39"|"active"
"263"|"0"|"89"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:41:54"|"2008-10-05 14:41:54"|"active"
"264"|"0"|"90"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:42:16"|"2008-10-05 14:42:16"|"active"
"265"|"0"|"90"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:42:35"|"2008-10-05 14:42:35"|"active"
"266"|"0"|"90"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:43:00"|"2008-10-05 14:43:00"|"active"
"267"|"0"|"91"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:43:21"|"2008-10-05 14:43:21"|"active"
"268"|"0"|"91"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:43:37"|"2008-10-05 14:43:37"|"active"
"269"|"0"|"91"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:43:56"|"2008-10-05 14:43:56"|"active"
"270"|"0"|"92"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:44:13"|"2008-10-05 14:44:13"|"active"
"271"|"0"|"92"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:44:31"|"2008-10-05 14:44:31"|"active"
"272"|"0"|"92"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:44:46"|"2008-10-05 14:44:46"|"active"
"273"|"0"|"93"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:45:07"|"2008-10-05 14:45:07"|"active"
"274"|"0"|"93"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:45:26"|"2008-10-05 14:45:26"|"active"
"275"|"0"|"93"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:45:44"|"2008-10-05 14:45:44"|"active"
"276"|"0"|"94"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:46:00"|"2008-10-05 14:46:00"|"active"
"277"|"0"|"94"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:46:18"|"2008-10-05 14:46:18"|"active"
"278"|"0"|"94"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:46:42"|"2008-10-05 14:46:42"|"active"
"279"|"0"|"95"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:49:45"|"2008-10-05 14:49:45"|"active"
"280"|"0"|"95"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:50:03"|"2008-10-05 14:50:03"|"active"
"281"|"0"|"95"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:50:28"|"2008-10-05 14:50:28"|"active"
"282"|"0"|"96"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:50:45"|"2008-10-05 14:50:45"|"active"
"283"|"0"|"96"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:51:48"|"2008-10-05 14:51:48"|"active"
"284"|"0"|"96"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:52:17"|"2008-10-05 14:52:17"|"active"
"285"|"0"|"97"||"#1018A"|"3"|"2"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:52:55"|"2008-10-05 14:52:55"|"active"
"286"|"0"|"97"||"#1018B"|"6"|"8"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 16:53:12"|"2008-10-05 14:53:12"|"active"
"287"|"0"|"97"||"#1018C"|"40"|"1"|"0"|"0"|"0"|"0"|"1"|"Gals."|"2008-10-05 16:53:50"|"2008-10-05 14:53:50"|"active"
"288"|"0"|"120"||"#2005D"|"18"|"64"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-05 17:46:02"|"2008-10-05 15:46:02"|"active"
"289"|"0"|"101"||"1024A1"|"2.25"|"2.5"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-06 18:13:33"|"2008-10-06 16:13:33"|"active"
"290"|"0"|"130"||"S0014"|"0"|"4"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-08 23:26:12"|"2008-10-08 21:26:12"|"active"
"291"|"0"|"130"||"S00112"|"0"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-08 23:27:42"|"2008-10-08 21:27:42"|"active"
"292"|"0"|"130"||"S00164"|"0"|"64"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-08 23:28:10"|"2008-10-08 21:28:10"|"active"
"293"|"0"|"131"||"S0044"|"0"|"4"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-08 23:31:15"|"2008-10-08 21:31:15"|"active"
"294"|"0"|"131"||"S00412"|"0"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-08 23:32:00"|"2008-10-08 21:32:00"|"active"
"295"|"0"|"131"||"S00464"|"0"|"64"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-08 23:32:32"|"2008-10-08 21:32:32"|"active"
"296"|"0"|"121"||"S0054"|"0"|"4"|"0"|"0"|"0"|"0"|"4"|"o.z."|"2008-10-08 23:40:56"|"2008-10-08 21:33:54"|"active"
"297"|"0"|"121"||"S00512"|"0"|"12"|"0"|"0"|"0"|"0"|"1"|"o.z."|"2008-10-08 23:34:14"|"2008-10-08 21:34:14"|"active"
